filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
arrow.cpp,57,44,0.772,102,45,0.441,5,4,0.8
arrow.h,4,2,0.5,0,0,,4,2,0.5
deletecommand.cpp,12,12,1.0,4,2,0.5,3,3,1.0
diagramitem.cpp,538,497,0.924,713,359,0.504,27,27,1.0
diagramitem.h,3,3,1.0,0,0,,3,3,1.0
diagramitemgroup.cpp,168,0,0.0,365,0,0.0,8,0,0.0
diagrampath.cpp,80,78,0.975,123,75,0.61,7,7,1.0
diagrampath.h,1,1,1.0,0,0,,1,1,1.0
diagramscene.cpp,377,247,0.655,635,264,0.41600000000000004,19,10,0.526
diagramtextitem.cpp,23,15,0.652,14,6,0.429,5,3,0.6
diagramtextitem.h,1,1,1.0,0,0,,1,1,1.0
findreplacedialog.cpp,35,35,1.0,122,50,0.41,5,5,1.0
mainwindow.cpp,1246,744,0.597,3468,1096,0.316,57,25,0.439
mainwindow.h,1,1,1.0,0,0,,1,1,1.0
tests/arrow.h,3,1,0.33299999999999996,0,0,,3,1,0.33299999999999996
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/debug/moc_diagramscene.cpp,78,27,0.34600000000000003,58,11,0.19,8,6,0.75
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/debug/moc_diagramtextitem.cpp,53,17,0.321,36,7,0.19399999999999998,6,4,0.667
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/debug/moc_findreplacedialog.cpp,47,25,0.532,33,10,0.303,7,6,0.857
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/debug/moc_mainwindow.cpp,107,15,0.14,108,7,0.065,4,3,0.75
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/debug/qrc_diagramscene.cpp,11,5,0.455,0,0,,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_arrow_straight_connection.moc,29,11,0.379,22,5,0.22699999999999998,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_component_signal_integrate.moc,27,9,0.33299999999999996,20,3,0.15,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_connectionline_style.moc,30,12,0.4,23,6,0.261,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_dataflow_integrity.moc,27,9,0.33299999999999996,20,3,0.15,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagramitem_properties.moc,33,15,0.455,26,9,0.34600000000000003,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagramitem_transform.moc,28,10,0.35700000000000004,21,4,0.19,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagramitem_types_full.moc,28,10,0.35700000000000004,21,4,0.19,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagramitems_create.moc,33,15,0.455,26,9,0.34600000000000003,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagrampath_connection.moc,29,11,0.379,22,5,0.22699999999999998,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagrampath_path_dev.moc,28,10,0.35700000000000004,21,4,0.19,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_diagramtextitem_edit.moc,30,12,0.4,23,6,0.261,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_file_io.moc,28,10,0.35700000000000004,21,4,0.19,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_findreplacedialog.moc,60,24,0.4,46,12,0.261,8,4,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_performance_stress.moc,27,9,0.33299999999999996,20,3,0.15,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_performance_workflow.moc,27,9,0.33299999999999996,20,3,0.15,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_scene_management.moc,34,16,0.47100000000000003,27,10,0.37,4,2,0.5
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_shortcuts.moc,36,18,0.5,29,12,0.414,4,2,0.5
