filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
tests/build/Desktop_Qt_6_10_1_MinGW_64_bit-Debug/debug/test_undo_redo.moc,27,9,0.33299999999999996,20,3,0.15,4,2,0.5
tests/diagramitem.cpp,538,509,0.946,713,374,0.525,27,27,1.0
tests/diagramitem.h,2,0,0.0,0,0,,2,0,0.0
tests/diagrampath.cpp,80,78,0.975,123,75,0.61,7,7,1.0
tests/diagrampath.h,1,1,1.0,0,0,,1,1,1.0
tests/diagramscene.cpp,377,250,0.6629999999999999,635,276,0.435,19,10,0.526
tests/mainwindow.cpp,1246,744,0.597,3468,1096,0.316,57,25,0.439
tests/mainwindow.h,1,1,1.0,0,0,,1,1,1.0
tests/test_arrow_connection_system.cpp,61,60,0.9840000000000001,138,49,0.355,18,17,0.9440000000000001
tests/test_arrow_straight_connection.cpp,163,161,0.988,524,179,0.342,13,13,1.0
tests/test_component_signal_integrate.cpp,27,27,1.0,74,33,0.446,3,3,1.0
tests/test_connectionline_style.cpp,72,72,1.0,196,88,0.449,6,6,1.0
tests/test_dataflow_integrity.cpp,32,32,1.0,124,56,0.452,2,2,1.0
tests/test_diagramitem_properties.cpp,131,129,0.985,380,149,0.392,10,10,1.0
tests/test_diagramitem_transform.cpp,90,59,0.6559999999999999,252,93,0.369,4,4,1.0
tests/test_diagramitem_types_full.cpp,198,194,0.98,788,360,0.457,6,6,1.0
tests/test_diagramitems_create.cpp,88,79,0.898,290,109,0.376,8,8,1.0
tests/test_diagrampath_connection.cpp,137,133,0.971,540,215,0.39799999999999996,8,8,1.0
tests/test_diagrampath_path_dev.cpp,48,47,0.9790000000000001,194,81,0.418,4,4,1.0
tests/test_diagramtextitem_edit.cpp,109,107,0.982,316,124,0.392,8,8,1.0
tests/test_file_io.cpp,120,120,1.0,436,178,0.408,12,12,1.0
tests/test_findreplacedialog.cpp,70,62,0.8859999999999999,86,44,0.512,9,9,1.0
tests/test_main.cpp,101,45,0.446,249,48,0.193,3,1,0.33299999999999996
tests/test_performance_stress.cpp,19,19,1.0,60,23,0.38299999999999995,2,2,1.0
tests/test_performance_workflow.cpp,20,20,1.0,40,19,0.475,2,2,1.0
tests/test_scene_management.cpp,198,191,0.965,600,256,0.42700000000000005,14,14,1.0
tests/test_shortcuts.cpp,286,252,0.8809999999999999,1246,423,0.33899999999999997,22,22,1.0
tests/test_undo_redo.cpp,25,25,1.0,90,40,0.444,3,3,1.0
